Product SKU,,Product Title,Price,Product Description,Collection,Variants (If Any Exist),Variant Values (If Variants Exist),Product Weight ,Product Height,Inventory,Taxable?,Cost (Optional),Image File Name,Notes (Please Confirm)
GMD-PND-CRS-MOI-925-WH,,Classic Iced Moissanite Cross Pendant,$325,"Express your faith in luxury with the Classic Iced Moissanite Cross Pendant, crafted from genuine 925 Sterling Silver and finished with a premium rhodium plating for long-lasting brilliance. This timeless cross design is fully hand-set with D Color VVS1 Round Brilliant Moissanite stones, creating exceptional sparkle from every angle. The pendant features a large pave-set bail that accommodates chains up to 8 mm, making it perfect for pairing with Cuban, tennis, or rope chains. Whether worn as a daily symbol of faith or as a statement piece, this pendant combines elegance, durability, and premium craftsmanship.",GoldMoufDog Faith Collection,,,8-10 grams,23 mm,,,,gmd-pnd-crs-moi-925-wh.webp,
GMD-PND-NUM-MOI-925-WH,,Iced Moissanite Number Pendant,$325,"Personalize your style with the Iced Moissanite Number Pendant, crafted from genuine 925 Sterling Silver and finished with a premium rhodium plating for lasting brilliance. Each pendant is fully hand-set with D Color VVS1 Round Brilliant Moissanite stones, creating exceptional fire and a luxurious diamond-like appearance. Designed with a large pave-set bail, this pendant fits chains up to 10 mm wide, making it ideal for pairing with Cuban, tennis, rope, or Franco chains. Available in numbers 0-9, it's the perfect way to represent a jersey number, lucky number, birth year, or meaningful milestone.",GoldMoufDog Signature Collection,,,9-12 grams,45 mm,,,,"gmd-pnd-num-moi-925-wh.webp (+ gallery: gmd-pnd-num-moi-925-wh-2.webp, -3.webp, -4.webp)",
GMD-PND-PH-MOI-925-WH,,Iced Praying Hands Pendant,$550,"Honor faith and craftsmanship with the Iced Praying Hands Moissanite Pendant, expertly crafted from genuine 925 Sterling Silver and finished with a brilliant rhodium plating. This symbolic pendant features a detailed praying hands design, fully hand-set with premium D Color VVS1 Round Brilliant Moissanite stones for unmatched brilliance and a luxurious diamond-like appearance. Designed with a large pave-set bail that accommodates chains up to 10 mm, this pendant pairs perfectly with Cuban, tennis, rope, or Franco chains. Whether worn as a daily reminder of faith or as a standout luxury piece, this pendant blends meaningful symbolism with exceptional craftsmanship.",GoldMoufDog Faith Collection,,,18-22 grams,58 mm,,,,gmd-pnd-ph-moi-925-wh.webp,
GMD-PND-SOD-MOI-925-WH,,Iced Star of David Pendant,$550,"Celebrate faith with exceptional craftsmanship in the Iced Star of David Moissanite Pendant. Expertly crafted from genuine 925 Sterling Silver and finished with a premium rhodium plating, this pendant showcases the iconic Star of David in a luxurious design. The pendant features a combination of D Color VVS1 Round Brilliant and Baguette Cut Moissanite stones, creating incredible brilliance, depth, and dimension. A large pave-set bail allows the pendant to pair perfectly with chains up to 10 mm, making it an eye-catching centerpiece for any jewelry collection. Designed for those who appreciate meaningful symbolism and premium luxury, this pendant is suitable for everyday wear or special occasions.",GoldMoufDog Faith Collection,,,16-20 grams,52 mm,,,,gmd-pnd-sod-moi-925-wh.webp,
GMD-PND-UZI-MOI-925-WH,,Iced Uzi Pendant,$550,"Make a bold statement with the Iced Uzi Moissanite Pendant, crafted from genuine 925 Sterling Silver and finished in a brilliant rhodium plating. This detailed pendant features an Uzi-inspired silhouette, fully hand-set with premium D Color VVS1 Round Brilliant Moissanite stones that deliver exceptional fire and a luxurious diamond-like appearance. Designed with a large pave-set bail, this pendant fits chains up to 10 mm, making it the perfect centerpiece for Cuban, tennis, rope, or Franco chains. Combining precision craftsmanship with modern streetwear style, this pendant is designed for those who appreciate standout jewelry.",GoldMoufDog Urban Collection,,,22-28 grams,65 mm,,,,gmd-pnd-uzi-moi-925-wh.webp,
GMD-WAT-GSH-RG450-ND,,Rose Gold Diamond G-SHOCK Watch | 4.50 CTW Natural VS1 Diamonds,"$2,500","Experience luxury with the Custom Rose Gold Diamond G-SHOCK Watch, built on an authentic Casio G-SHOCK platform and customized with 4.50 carats of hand-set natural VS1 diamonds. Featuring a striking combination of baguette-cut and round brilliant-cut diamonds, this timepiece offers exceptional brilliance while maintaining the legendary toughness of G-SHOCK. Finished in a rich high-polish rose gold coating and paired with a black resin strap, this custom watch blends durability with premium craftsmanship. Whether worn daily or reserved for special occasions, it's a standout piece designed to command attention.",GoldMoufDog Luxury Timepieces Collection,,,95-110 grams,50 mm,,,,gmd-wat-gsh-rg450-nd.webp,
GMD-WAT-GSH-YG450-ND,,Yellow Gold Diamond G-SHOCK Watch | 4.50 CTW Natural VS1 Diamonds,"$2,500","The Custom Yellow Gold Diamond G-SHOCK Watch combines legendary G-SHOCK toughness with exceptional luxury craftsmanship. Built on an authentic Casio G-SHOCK platform, this custom timepiece is expertly hand-set with 4.50 carats of natural VS1 diamonds, featuring a striking combination of baguette-cut and round brilliant-cut stones for maximum brilliance and depth. Finished in a rich high-polish yellow gold coating and paired with a durable black resin strap, this watch delivers the perfect balance of rugged performance and premium style. Whether you're elevating your everyday look or making a statement at a special event, this custom G-SHOCK is designed to stand out.",GoldMoufDog Luxury Timepieces Collection,,,95-110 grams,50 mm,,,,gmd-wat-gsh-yg450-nd.webp,
GMD-WAT-GSH-WG450-ND,,White Gold Diamond G-SHOCK Watch | 4.50 CTW Natural VS1 Diamonds,"$2,500","The Custom White Gold Diamond G-SHOCK Watch blends iconic G-SHOCK durability with premium jewelry craftsmanship. Built on an authentic Casio G-SHOCK platform, this custom timepiece is meticulously hand-set with 4.50 carats of natural VS1 diamonds, featuring an eye-catching combination of baguette-cut and round brilliant-cut diamonds for exceptional brilliance and depth. Finished in a brilliant white gold finish and paired with a durable black resin strap, this luxury watch delivers bold style without sacrificing the legendary toughness G-SHOCK is known for. Whether worn daily or reserved for special occasions, it's designed to stand out.",GoldMoufDog Luxury Timepieces Collection,,,95-110 grams,50 mm,,,,gmd-wat-gsh-wg450-nd.webp,
GMD-WAT-GSH-MOI-SLV-BLK,,Silver Moissanite G-SHOCK Watch | Black Band,$850,"Experience luxury and durability with the Custom Silver Moissanite G-SHOCK Watch. Built on an authentic Casio G-SHOCK platform, this custom timepiece is fully hand-set with premium D Color VVS1 Moissanite stones, delivering exceptional brilliance and a diamond-like appearance. Finished in genuine 925 Sterling Silver with a durable rhodium plating, this watch pairs a sleek black analog-digital dial with a comfortable black resin strap, creating the perfect blend of rugged performance and luxury style. Whether worn daily or for special occasions, this custom G-SHOCK is designed to stand out.",GoldMoufDog Luxury Timepieces Collection,,,85-100 grams,45.4 mm,,,,gmd-wat-gsh-moi-slv-blk.webp,"The reference photo used for this row and for GMD-WAT-GSH-MOI-SLV below appear to be the SAME physical watch (identical dial time, identical bezel). Sheet lists them as two separate SKUs -- please confirm with client whether these are genuinely two different products or a duplicate row."
GMD-WAT-GSH-MOI-OLV-BT,,Silver Moissanite Bluetooth G-SHOCK Watch | Olive Band,$900,"Experience cutting-edge technology and luxury craftsmanship with the Custom Silver Moissanite Bluetooth G-SHOCK Watch. Built on an authentic Casio Bluetooth Tough Solar G-SHOCK, this custom timepiece is fully hand-set with premium D Color VVS1 Moissanite stones, delivering exceptional brilliance while maintaining the rugged reliability G-SHOCK is known for. The striking olive green dial and matching resin band create a unique military-inspired look, while Bluetooth(R) connectivity and Tough Solar technology provide modern convenience. Finished in genuine 925 Sterling Silver with a brilliant rhodium plating, this watch is designed for those who demand both performance and luxury.",GoldMoufDog Luxury Timepieces Collection,,,90-105 grams,48.5 mm,,,,gmd-wat-gsh-moi-olv-bt.webp,
GMD-WAT-GSH-MOI-SLV,,Silver Moissanite G-SHOCK Watch,$850,"Upgrade your wrist game with the Custom Silver Moissanite G-SHOCK Watch, built on an authentic Casio G-SHOCK platform and fully customized with premium D Color VVS1 Moissanite stones. The hand-set micro pave design delivers brilliant diamond-like sparkle while maintaining the rugged durability and reliability that G-SHOCK is known for. Finished in genuine 925 Sterling Silver with a brilliant rhodium finish, this custom watch features a sleek black analog-digital dial paired with a durable black resin strap, making it perfect for everyday wear or luxury streetwear styling.",GoldMoufDog Luxury Timepieces Collection,,,85-100 grams,48.5 mm,,,,gmd-wat-gsh-moi-slv.webp,Same reference-photo duplicate issue as GMD-WAT-GSH-MOI-SLV-BLK above -- please confirm with client.
GMD-ER-LD-FLR-RG1583,,Luxury Rose Gold Lab Diamond Flower Cluster Stud Earrings - 15.83 CTW,"$4,000","Radiate brilliance with the Luxury Rose Gold Lab Diamond Flower Cluster Stud Earrings, expertly crafted in genuine 10K Rose Gold and set with an incredible 15.83 carats of premium lab-grown diamonds. Designed in a timeless flower cluster silhouette, each earring features multiple Round Brilliant Cut F-G Color VS1-VS2 lab diamonds arranged to maximize sparkle and create the appearance of a larger center stone. With a substantial 37.7-gram weight and 10 mm face, these earrings offer exceptional presence while maintaining elegant sophistication. Perfect for both everyday luxury and formal occasions, they combine sustainable diamonds with premium craftsmanship.",GoldMoufDog Luxe Diamond Collection,,,37.7 Grams,6 mm,,,,gmd-er-ld-flr-rg1583.webp,
GMD-ER-LD-FLR-WG287,,Luxury White Gold Lab Diamond Flower Cluster Stud Earrings - 2.87 CTW,"$3,500","Timeless elegance meets exceptional brilliance with these 10K White Gold Lab Diamond Flower Cluster Stud Earrings. Crafted from genuine 10K White Gold, each earring showcases a beautifully designed flower cluster composed of premium F-G Color VS1-VS2 Lab-Grown Diamonds, totaling 2.87 carats. The classic floral design creates the appearance of a larger center diamond while maximizing sparkle from every angle. Lightweight yet luxurious at 4.4 grams, these earrings are perfect for everyday wear or special occasions, offering the beauty of fine diamonds with modern sustainability.",GoldMoufDog Luxe Diamond Collection,,,4.4 Grams,5 mm,,,,NEEDS PHOTO,NO PHOTO YET. Checked all 40 client Drive reference photos -- none show a white-gold flower-cluster pair. Needs a new product photo from the client before this can go on Shopify.
GMD-ER-LD-FLR-YG398,,Luxury Yellow Gold Lab Diamond Flower Cluster Stud Earrings - 3.98 CTW,"$3,899","Make a statement with these 10K Yellow Gold Lab Diamond Flower Cluster Stud Earrings, expertly crafted from genuine 10K Yellow Gold and featuring an impressive 3.98 total carats of premium lab-grown diamonds. Designed in a luxurious flower cluster silhouette, each earring showcases brilliant Round Cut F-G Color VS1-VS2 lab diamonds arranged to maximize fire and brilliance. With a substantial 6.4-gram weight and a bold 10 mm profile, these earrings deliver exceptional sparkle while remaining comfortable enough for everyday wear. Their timeless floral design makes them a versatile addition to any fine jewelry collection.",GoldMoufDog Luxe Diamond Collection,,,6.4 Grams,6 mm,,,,gmd-er-ld-flr-yg398.webp,
GMD-ER-LD-HEX-WG109,,Luxury White Gold Lab Diamond Hexagon Cluster Stud Earrings - 1.09 CTW,"$1,000","Refined, modern, and brilliantly crafted, these 10K White Gold Lab Diamond Hexagon Cluster Stud Earrings are the perfect combination of everyday luxury and timeless elegance. Crafted from genuine 10K White Gold, each earring features a geometric hexagon silhouette adorned with 1.09 total carats of premium F-G Color VS1-VS2 Lab-Grown Diamonds. The cluster arrangement enhances the visual size and sparkle of each earring while maintaining a lightweight profile of just 2.0 grams, making them comfortable enough for all-day wear. Their clean hexagonal design offers a contemporary twist on the classic diamond stud.",GoldMoufDog Luxe Diamond Collection,,,2.0 Grams,4.5 mm,,,,gmd-er-ld-hex-wg109.webp,"Two hexagon-cluster reference photos exist (IMG_2509, IMG_2514), both white-toned -- can't visually tell 10K white gold from rhodium 925 silver apart from a photo. Assigned this one to the white-gold SKU and the other to GMD-ER-MOI-HEX-SS0788 below; please confirm which physical pair is which before Shopify upload."
GMD-ER-LD-HEX-RG103,,Luxury Rose Gold Lab Diamond Hexagon Cluster Stud Earrings - 1.03 CTW,"$1,000","Designed for effortless elegance, these 10K Rose Gold Lab Diamond Hexagon Cluster Stud Earrings feature a contemporary hexagon silhouette accented with 1.03 total carats of premium lab-grown diamonds. Crafted in genuine 10K Rose Gold, the warm gold tone beautifully complements the brilliant F-G Color VS1-VS2 diamonds, creating exceptional sparkle from every angle. Weighing just 2.0 grams, these lightweight earrings offer everyday comfort while delivering the luxurious appearance of a larger diamond through their expertly arranged cluster design. Perfect for both casual wear and special occasions, they're a timeless addition to any jewelry collection.",GoldMoufDog Luxe Diamond Collection,,,2.0 Grams,4.5 mm,,,,NEEDS PHOTO,NO PHOTO YET. No rose-gold hexagon-cluster pair found among the 40 client Drive reference photos. Needs a new product photo from the client before this can go on Shopify.
GMD-ER-LD-HEX-YG101,,Luxury Yellow Gold Lab Diamond Hexagon Cluster Stud Earrings - 1.01 CTW,"$1,000","Refined and timeless, these 10K Yellow Gold Lab Diamond Hexagon Cluster Stud Earrings are crafted in genuine 10K Yellow Gold and feature 1.01 total carats of premium F-G Color VS1-VS2 Lab-Grown Diamonds. The elegant hexagon cluster design maximizes brilliance, creating the appearance of a larger center stone while maintaining a sleek, modern silhouette. Lightweight at just 1.9 grams, these earrings are designed for all-day comfort without sacrificing luxury. Whether worn alone or paired with other fine jewelry, they provide the perfect finishing touch for any occasion.",GoldMoufDog Luxe Diamond Collection,,,1.9 Grams,4.5 mm,,,,NEEDS PHOTO,NO PHOTO YET. No yellow-gold hexagon-cluster pair found among the 40 client Drive reference photos. Needs a new product photo from the client before this can go on Shopify.
GMD-ER-LD-SOL-WG108,,Luxury White Gold Lab Diamond Solitaire Stud Earrings - 1.08 CTW,$750,"Timeless, elegant, and designed for everyday luxury, these 10K White Gold Lab Diamond Solitaire Stud Earrings feature 1.08 total carats of premium Round Brilliant Cut Lab-Grown Diamonds. Expertly set in a classic four-prong solitaire setting, each diamond is showcased to maximize brilliance and fire while offering a clean, sophisticated look. Crafted from genuine 10K White Gold and weighing only 1.5 grams, these lightweight earrings provide exceptional comfort without sacrificing sparkle. A staple piece for any fine jewelry collection, they're perfect for daily wear or special occasions.",GoldMoufDog Luxe Diamond Collection,,,1.5 Grams,5.5 mm,,,,gmd-er-ld-sol-wg108.webp,
GMD-ER-LD-SOL-YG110,,Luxury Yellow Gold Lab Diamond Solitaire Stud Earrings - 1.10 CTW,$750,"Elevate your everyday style with these 10K Yellow Gold Lab Diamond Solitaire Stud Earrings, expertly crafted from genuine 10K Yellow Gold and set with 1.10 total carats of premium Round Brilliant Cut Lab-Grown Diamonds. The timeless four-prong solitaire setting highlights each diamond's exceptional brilliance, making these earrings a refined staple for any jewelry collection. Weighing just 1.6 grams, these lightweight studs offer superior comfort while delivering the luxurious sparkle of fine diamonds. Whether worn daily or reserved for special occasions, they provide a classic look that never goes out of style.",GoldMoufDog Luxe Diamond Collection,,,1.6 Grams,5.5 mm,,,,gmd-er-ld-sol-yg110.webp,
GMD-ER-MOI-HEX-SS0788,,Luxury 925 Sterling Silver Moissanite Hexagon Cluster Stud Earrings - 0.788 CTW,$130,"Designed with modern sophistication, these 925 Sterling Silver Moissanite Hexagon Cluster Stud Earrings feature 0.788 total carats of premium D Color VVS1 Moissanite. The unique hexagon cluster design enhances the brilliance of each stone, creating the appearance of a larger center while maintaining a clean and contemporary aesthetic. Crafted from genuine 925 Sterling Silver with a durable high-polish rhodium finish, these earrings provide exceptional sparkle, lasting durability, and lightweight comfort. Perfect for everyday wear or special occasions, they are a timeless addition to any jewelry collection.",GoldMoufDog Signature Moissanite Collection,,,0.788 CTW,4.5 mm,,,,gmd-er-moi-hex-ss0788.webp,See note on GMD-ER-LD-HEX-WG109 above -- this pair and that one share visually-identical white-toned reference photos; please confirm assignment.
GMD-ER-MOI-RND-SS096,,Luxury 925 Sterling Silver Moissanite Round Cluster Stud Earrings - 0.96 CTW,$130,"Elevate your everyday style with the GoldMoufDog 925 Sterling Silver Moissanite Round Cluster Stud Earrings. Featuring 0.96 total carats of premium D Color VVS1 Moissanite, these earrings are designed with a brilliant round cluster that creates the appearance of a larger solitaire while maximizing fire and sparkle. Expertly crafted from genuine 925 Sterling Silver and finished with durable rhodium plating, these earrings provide exceptional shine, lasting durability, and comfortable everyday wear. Whether worn casually or for special occasions, they deliver a luxury look without compromise.",GoldMoufDog Signature Moissanite Collection,,,0.96 CTW,4.8 mm,,,,gmd-er-moi-rnd-ss096.webp,"This is the pair originally built on the site as 'Cluster Halo Studs' (ref photo IMG_2507). Visually near-identical to the Flower Cluster Studs (row 6) -- inferred as Round Cluster rather than Flower/Hexagon based on shape, but please have the client confirm this is the 0.96 CTW round-cluster piece and not a mislabel."
GMD-ER-MOI-PAVE-SS0426,,Luxury 925 Sterling Silver Moissanite Round Pave Stud Earrings - 0.426 CTW,$150,"Add effortless brilliance to your everyday collection with the GoldMoufDog 925 Sterling Silver Moissanite Round Pave Stud Earrings. Featuring 0.426 total carats of premium D Color VVS1 Moissanite, these earrings showcase a fully pave-set round face that delivers exceptional sparkle from every angle. Crafted from genuine 925 Sterling Silver with a durable rhodium finish, these studs offer a luxurious appearance while remaining lightweight and comfortable for daily wear. Their timeless design makes them perfect whether worn alone or paired with other jewelry.",GoldMoufDog Signature Moissanite Collection,,,0.426 CTW,4 mm,,,,gmd-er-moi-pave-ss0426.webp,
